,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_duality_gap,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
0,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,0,0.0028172919992357492,3.763112848392327,3.235410700204877,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
1,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,1,0.005011041997931898,8.092322487727852,99.07878404665237,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
2,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,2,0.007447374999173917,5.544175121533378,21.601696613851825,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
3,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,3,0.00795645899779629,4.095949882770405,9.703626111842564,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
4,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,4,0.01218995799717959,3.079994376295582,4.776644936664427,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
5,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,6,0.007845750005799346,2.3274488839700043,1.9610132041052792,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
6,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,9,0.008488874998874962,1.9409164804292465,1.0224195823911375,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
7,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,13,0.010278041998390108,1.7443234102217335,0.6579658320838591,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
8,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,19,0.011083457997301593,1.6223064144478205,0.4642520112235693,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
9,"SLOPE[fit_intercept=True,q=0.2,reg=0.25]",admm,breheny[dataset=Rhee2006],0,28,0.01392666700121481,1.4876282120819642,0.23956495432271208,,Darwin,arm64,21.4.0,Darwin Kernel Version 21.4.0: Fri Mar 18 00:47:26 PDT 2022; root:xnu-8020.101.4~15/RELEASE_ARM64_T8101,8,Apple M1,8,,"('1.22.4', '')",1.8.1
