,objective_name,solver_name,data_name,idx_rep,stop_val,time,objective_value,objective_duality_gap,env-OMP_NUM_THREADS,platform,platform-architecture,platform-release,platform-version,system-cpus,system-processor,system-ram (GB),version-cuda,version-numpy,version-scipy
0,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,0,0.24553171500156168,1.3178432449343171,0.14040140679379065,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
1,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,1,0.32481021900093765,1.5124078786881703,0.4322791725137298,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
2,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,2,0.3658494230003271,1.5122822178984558,1.4874678987077254,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
3,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,3,0.40739052099888795,1.5120383549370024,1.475722211651875,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
4,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,4,0.436708893001196,1.5115509123560196,1.4524678755672347,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
5,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,6,0.48032907800006797,1.508634895955048,1.4295540331554806,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
6,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,9,0.5439911959983874,1.4820911391270275,1.4502575457332216,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
7,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,13,0.6422990409992053,1.1598044318043488,1.0822302976110323,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
8,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,19,0.8052283059987531,0.3076806054728979,0.09403732834082984,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
9,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,28,1.0096230640010617,0.7386332397284318,0.514678900514524,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
10,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,42,1.2638829270072165,13.243735322081204,13.016529156763273,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
11,"SLOPE[dev_ratio=0.3,fit_intercept=True,q=0.2]",admm,breheny[dataset=bcTCGA],0,63,1.8839157440161216,3.3977726182113446,3.170603990696375,,Linux,x86_64,5.19.11-200.fc36.x86_64,#1 SMP PREEMPT_DYNAMIC Fri Sep 23 15:07:44 UTC 2022,8,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,31,,"('1.22.4', '')",1.9.0
